1:0:d=2018052106:VIS:surface:3 hour fcst:
2:577700:d=2018052106:UGRD:planetary boundary layer:3 hour fcst:
3:1299781:d=2018052106:VGRD:planetary boundary layer:3 hour fcst:
4:2021862:d=2018052106:VRATE:planetary boundary layer:3 hour fcst:
5:2743943:d=2018052106:GUST:surface:3 hour fcst:
102:87007222:d=2018052106:TMP:250 mb:3 hour fcst:
103:87657113:d=2018052106:RH:250 mb:3 hour fcst:
104:88379194:d=2018052106:VVEL:250 mb:3 hour fcst:
105:89534415:d=2018052106:UGRD:250 mb:3 hour fcst:
106:90328686:d=2018052106:VGRD:250 mb:3 hour fcst:
107:91122957:d=2018052106:ABSV:250 mb:3 hour fcst:
108:91845038:d=2018052106:CLWMR:250 mb:3 hour fcst:
109:92639309:d=2018052106:ICSEV:250 mb:3 hour fcst:
110:92639488:d=2018052106:O3MR:250 mb:3 hour fcst:
111:93794709:d=2018052106:HGT:300 mb:3 hour fcst:
112:94949930:d=2018052106:TMP:300 mb:3 hour fcst:
113:95599821:d=2018052106:RH:300 mb:3 hour fcst:
114:96321902:d=2018052106:VVEL:300 mb:3 hour fcst:
115:97477123:d=2018052106:UGRD:300 mb:3 hour fcst:
116:98271394:d=2018052106:VGRD:300 mb:3 hour fcst:
117:99065665:d=2018052106:ABSV:300 mb:3 hour fcst:
118:99859936:d=2018052106:CLWMR:300 mb:3 hour fcst:
119:100654207:d=2018052106:ICSEV:300 mb:3 hour fcst:
120:101304098:d=2018052106:O3MR:300 mb:3 hour fcst:
121:102459319:d=2018052106:HGT:350 mb:3 hour fcst:
122:103614540:d=2018052106:TMP:350 mb:3 hour fcst:
123:104264431:d=2018052106:RH:350 mb:3 hour fcst:
124:104986512:d=2018052106:VVEL:350 mb:3 hour fcst:
125:106141733:d=2018052106:UGRD:350 mb:3 hour fcst:
126:106936004:d=2018052106:VGRD:350 mb:3 hour fcst:
127:107730275:d=2018052106:ABSV:350 mb:3 hour fcst:
128:108524546:d=2018052106:CLWMR:350 mb:3 hour fcst:
129:109318817:d=2018052106:ICSEV:350 mb:3 hour fcst:
130:109968708:d=2018052106:O3MR:350 mb:3 hour fcst:
131:111123929:d=2018052106:HGT:400 mb:3 hour fcst:
132:112279150:d=2018052106:TMP:400 mb:3 hour fcst:
133:112929041:d=2018052106:RH:400 mb:3 hour fcst:
134:113651122:d=2018052106:VVEL:400 mb:3 hour fcst:
135:114806343:d=2018052106:UGRD:400 mb:3 hour fcst:
136:115600614:d=2018052106:VGRD:400 mb:3 hour fcst:
137:116394885:d=2018052106:ABSV:400 mb:3 hour fcst:
138:117189156:d=2018052106:CLWMR:400 mb:3 hour fcst:
139:117983427:d=2018052106:ICSEV:400 mb:3 hour fcst:
140:118633318:d=2018052106:O3MR:400 mb:3 hour fcst:
141:119788539:d=2018052106:HGT:450 mb:3 hour fcst:
142:120943760:d=2018052106:TMP:450 mb:3 hour fcst:
143:121593651:d=2018052106:RH:450 mb:3 hour fcst:
144:122315732:d=2018052106:VVEL:450 mb:3 hour fcst:
145:123326573:d=2018052106:UGRD:450 mb:3 hour fcst:
146:124120844:d=2018052106:VGRD:450 mb:3 hour fcst:
147:124915115:d=2018052106:ABSV:450 mb:3 hour fcst:
148:125709386:d=2018052106:CLWMR:450 mb:3 hour fcst:
149:126503657:d=2018052106:ICSEV:450 mb:3 hour fcst:
150:127153548:d=2018052106:HGT:500 mb:3 hour fcst:
151:128308769:d=2018052106:TMP:500 mb:3 hour fcst:
152:129030850:d=2018052106:RH:500 mb:3 hour fcst:
153:129752931:d=2018052106:VVEL:500 mb:3 hour fcst:
154:130763772:d=2018052106:UGRD:500 mb:3 hour fcst:
155:131774613:d=2018052106:VGRD:500 mb:3 hour fcst:
156:132785454:d=2018052106:ABSV:500 mb:3 hour fcst:
157:133579725:d=2018052106:CLWMR:500 mb:3 hour fcst:
158:134373996:d=2018052106:ICSEV:500 mb:3 hour fcst:
159:135096074:d=2018052106:HGT:550 mb:3 hour fcst:
160:136251295:d=2018052106:TMP:550 mb:3 hour fcst:
161:136973376:d=2018052106:RH:550 mb:3 hour fcst:
162:137695457:d=2018052106:VVEL:550 mb:3 hour fcst:
163:138706298:d=2018052106:UGRD:550 mb:3 hour fcst:
164:139717139:d=2018052106:VGRD:550 mb:3 hour fcst:
165:140655790:d=2018052106:ABSV:550 mb:3 hour fcst:
166:141450061:d=2018052106:CLWMR:550 mb:3 hour fcst:
167:142244332:d=2018052106:ICSEV:550 mb:3 hour fcst:
168:142965545:d=2018052106:HGT:600 mb:3 hour fcst:
169:144120766:d=2018052106:TMP:600 mb:3 hour fcst:
170:144842847:d=2018052106:RH:600 mb:3 hour fcst:
171:145564928:d=2018052106:VVEL:600 mb:3 hour fcst:
172:146575769:d=2018052106:UGRD:600 mb:3 hour fcst:
173:147514420:d=2018052106:VGRD:600 mb:3 hour fcst:
174:148453071:d=2018052106:ABSV:600 mb:3 hour fcst:
175:149247342:d=2018052106:CLWMR:600 mb:3 hour fcst:
176:150041613:d=2018052106:ICSEV:600 mb:3 hour fcst:
177:150758818:d=2018052106:HGT:650 mb:3 hour fcst:
178:151914039:d=2018052106:TMP:650 mb:3 hour fcst:
179:152636120:d=2018052106:RH:650 mb:3 hour fcst:
180:153358201:d=2018052106:VVEL:650 mb:3 hour fcst:
181:154369042:d=2018052106:UGRD:650 mb:3 hour fcst:
182:155307693:d=2018052106:VGRD:650 mb:3 hour fcst:
183:156246344:d=2018052106:ABSV:650 mb:3 hour fcst:
184:157040615:d=2018052106:CLWMR:650 mb:3 hour fcst:
185:157834886:d=2018052106:ICSEV:650 mb:3 hour fcst:
186:158537808:d=2018052106:HGT:700 mb:3 hour fcst:
187:159693029:d=2018052106:TMP:700 mb:3 hour fcst:
188:160415110:d=2018052106:RH:700 mb:3 hour fcst:
189:161137191:d=2018052106:VVEL:700 mb:3 hour fcst:
190:162148032:d=2018052106:UGRD:700 mb:3 hour fcst:
191:163086683:d=2018052106:VGRD:700 mb:3 hour fcst:
192:164025334:d=2018052106:ABSV:700 mb:3 hour fcst:
193:164891795:d=2018052106:CLWMR:700 mb:3 hour fcst:
194:165686066:d=2018052106:ICSEV:700 mb:3 hour fcst:
195:166372247:d=2018052106:HGT:750 mb:3 hour fcst:
196:167527468:d=2018052106:TMP:750 mb:3 hour fcst:
197:168249549:d=2018052106:RH:750 mb:3 hour fcst:
198:168971630:d=2018052106:VVEL:750 mb:3 hour fcst:
199:169982471:d=2018052106:UGRD:750 mb:3 hour fcst:
200:170921122:d=2018052106:VGRD:750 mb:3 hour fcst:
201:171859773:d=2018052106:ABSV:750 mb:3 hour fcst:
202:172654044:d=2018052106:CLWMR:750 mb:3 hour fcst:
203:173448315:d=2018052106:ICSEV:750 mb:3 hour fcst:
204:174117118:d=2018052106:HGT:800 mb:3 hour fcst:
205:175272339:d=2018052106:TMP:800 mb:3 hour fcst:
206:175994420:d=2018052106:RH:800 mb:3 hour fcst:
207:176716501:d=2018052106:VVEL:800 mb:3 hour fcst:
208:177727342:d=2018052106:UGRD:800 mb:3 hour fcst:
209:178665993:d=2018052106:VGRD:800 mb:3 hour fcst:
210:179604644:d=2018052106:ABSV:800 mb:3 hour fcst:
211:180471105:d=2018052106:CLWMR:800 mb:3 hour fcst:
212:181265376:d=2018052106:ICSEV:800 mb:3 hour fcst:
213:181922400:d=2018052106:HGT:850 mb:3 hour fcst:
214:183077621:d=2018052106:TMP:850 mb:3 hour fcst:
215:183799702:d=2018052106:RH:850 mb:3 hour fcst:
216:184521783:d=2018052106:VVEL:850 mb:3 hour fcst:
217:185532624:d=2018052106:UGRD:850 mb:3 hour fcst:
218:186471275:d=2018052106:VGRD:850 mb:3 hour fcst:
219:187409926:d=2018052106:ABSV:850 mb:3 hour fcst:
220:188276387:d=2018052106:CLWMR:850 mb:3 hour fcst:
221:189070658:d=2018052106:ICSEV:850 mb:3 hour fcst:
222:189715855:d=2018052106:HGT:900 mb:3 hour fcst:
223:190871076:d=2018052106:TMP:900 mb:3 hour fcst:
224:191593157:d=2018052106:RH:900 mb:3 hour fcst:
225:192315238:d=2018052106:VVEL:900 mb:3 hour fcst:
226:193326079:d=2018052106:UGRD:900 mb:3 hour fcst:
227:194264730:d=2018052106:VGRD:900 mb:3 hour fcst:
228:195203381:d=2018052106:ABSV:900 mb:3 hour fcst:
229:196069842:d=2018052106:CLWMR:900 mb:3 hour fcst:
230:197008493:d=2018052106:ICSEV:900 mb:3 hour fcst:
231:197633991:d=2018052106:HGT:925 mb:3 hour fcst:
232:198789212:d=2018052106:TMP:925 mb:3 hour fcst:
233:199511293:d=2018052106:RH:925 mb:3 hour fcst:
234:200233374:d=2018052106:VVEL:925 mb:3 hour fcst:
235:201244215:d=2018052106:UGRD:925 mb:3 hour fcst:
236:202182866:d=2018052106:VGRD:925 mb:3 hour fcst:
237:203121517:d=2018052106:ABSV:925 mb:3 hour fcst:
238:203987978:d=2018052106:CLWMR:925 mb:3 hour fcst:
239:204710059:d=2018052106:HGT:950 mb:3 hour fcst:
240:205865280:d=2018052106:TMP:950 mb:3 hour fcst:
241:206587361:d=2018052106:RH:950 mb:3 hour fcst:
242:207309442:d=2018052106:VVEL:950 mb:3 hour fcst:
243:208320283:d=2018052106:UGRD:950 mb:3 hour fcst:
244:209258934:d=2018052106:VGRD:950 mb:3 hour fcst:
245:210197585:d=2018052106:ABSV:950 mb:3 hour fcst:
246:211064046:d=2018052106:CLWMR:950 mb:3 hour fcst:
247:212002697:d=2018052106:ICSEV:950 mb:3 hour fcst:
248:212592711:d=2018052106:HINDEX:surface:3 hour fcst:
249:212738841:d=2018052106:HGT:975 mb:3 hour fcst:
250:213894062:d=2018052106:TMP:975 mb:3 hour fcst:
251:214616143:d=2018052106:RH:975 mb:3 hour fcst:
252:215338224:d=2018052106:VVEL:975 mb:3 hour fcst:
253:216349065:d=2018052106:UGRD:975 mb:3 hour fcst:
254:217287716:d=2018052106:VGRD:975 mb:3 hour fcst:
255:218226367:d=2018052106:ABSV:975 mb:3 hour fcst:
256:219092828:d=2018052106:CLWMR:975 mb:3 hour fcst:
257:220031479:d=2018052106:TMP:1000 mb:3 hour fcst:
258:220753560:d=2018052106:RH:1000 mb:3 hour fcst:
259:221475641:d=2018052106:VVEL:1000 mb:3 hour fcst:
260:222486482:d=2018052106:UGRD:1000 mb:3 hour fcst:
261:223425133:d=2018052106:VGRD:1000 mb:3 hour fcst:
262:224363784:d=2018052106:ABSV:1000 mb:3 hour fcst:
263:225158055:d=2018052106:CLWMR:1000 mb:3 hour fcst:
264:226024516:d=2018052106:ICSEV:1000 mb:3 hour fcst:
265:226452643:d=2018052106:MSLET:mean sea level:3 hour fcst:
266:227607864:d=2018052106:HGT:1000 mb:3 hour fcst:
267:228763085:d=2018052106:PRES:surface:3 hour fcst:
268:229918306:d=2018052106:HGT:surface:3 hour fcst:
269:231073527:d=2018052106:TMP:surface:3 hour fcst:
270:231867798:d=2018052106:TSOIL:0-0.1 m below ground:3 hour fcst:
271:232254437:d=2018052106:SOILW:0-0.1 m below ground:3 hour fcst:
272:232612506:d=2018052106:TSOIL:0.1-0.4 m below ground:3 hour fcst:
273:233084855:d=2018052106:SOILW:0.1-0.4 m below ground:3 hour fcst:
274:233442924:d=2018052106:TSOIL:0.4-1 m below ground:3 hour fcst:
275:233915273:d=2018052106:SOILW:0.4-1 m below ground:3 hour fcst:
276:234273342:d=2018052106:TSOIL:1-2 m below ground:3 hour fcst:
277:234745691:d=2018052106:SOILW:1-2 m below ground:3 hour fcst:
278:235103760:d=2018052106:WEASD:surface:3 hour fcst:
279:235505601:d=2018052106:SNOD:surface:3 hour fcst:
280:235907442:d=2018052106:PEVPR:surface:3 hour fcst:
281:236436930:d=2018052106:TMP:2 m above ground:3 hour fcst:
282:237231201:d=2018052106:SPFH:2 m above ground:3 hour fcst:
283:238097662:d=2018052106:DPT:2 m above ground:3 hour fcst:
284:238891933:d=2018052106:RH:2 m above ground:3 hour fcst:
285:239614014:d=2018052106:APTMP:2 m above ground:3 hour fcst:
286:240408285:d=2018052106:TMAX:2 m above ground:0-3 hour max fcst:
287:241202580:d=2018052106:TMIN:2 m above ground:0-3 hour min fcst:
288:241996875:d=2018052106:UGRD:10 m above ground:3 hour fcst:
289:242935526:d=2018052106:VGRD:10 m above ground:3 hour fcst:
290:243874177:d=2018052106:CPOFP:surface:3 hour fcst:
291:244668448:d=2018052106:CPRAT:surface:0-3 hour ave fcst:
292:245534933:d=2018052106:PRATE:surface:0-3 hour ave fcst:
293:246329228:d=2018052106:APCP:surface:0-3 hour acc fcst:
294:247123523:d=2018052106:ACPCP:surface:0-3 hour acc fcst:
295:247773438:d=2018052106:WATR:surface:0-3 hour acc fcst:
296:248431558:d=2018052106:CSNOW:surface:0-3 hour ave fcst:
297:248503952:d=2018052106:CICEP:surface:0-3 hour ave fcst:
298:248576346:d=2018052106:CFRZR:surface:0-3 hour ave fcst:
299:248648740:d=2018052106:CRAIN:surface:0-3 hour ave fcst:
300:248721134:d=2018052106:LHTFL:surface:0-3 hour ave fcst:
